"foreign_language","race","sex","wealth","educ","log_wealth","log_educ"
0,1,2,734000,12,13.5062643075967,2.484906649788
0,1,1,1687000,12,14.3384623615281,2.484906649788
0,1,2,629300,14,13.352363369515,2.63905732961526
0,1,1,198000,12,12.1960223096767,2.484906649788
0,1,2,4000,12,8.29404964010203,2.484906649788
0,1,2,890000,12,13.6989767417083,2.484906649788
0,1,1,280000,13,12.5425448821514,2.56494935746154
0,1,2,100000,17,11.5129254649702,2.83321334405622
0,1,2,572000,14,13.2568942703619,2.63905732961526
0,1,2,716000,16,13.4814354459428,2.77258872223978
0,1,1,640700,12,13.3703166076271,2.484906649788
0,1,2,543000,12,13.2048645989161,2.484906649788
0,1,1,134000,12,11.805595078933,2.484906649788
0,1,2,159400,14,11.9791720453383,2.63905732961526
0,1,1,995000,13,13.8104980161407,2.56494935746154
0,0,1,651000,14,13.3862649211907,2.63905732961526
0,0,1,4000,12,8.29404964010203,2.484906649788
0,0,1,319800,16,12.675451079382,2.77258872223978
0,0,1,111500,17,11.6217798698823,2.83321334405622
1,1,2,491800,13,13.1058274087642,2.56494935746154
0,1,2,9500,9,9.15904707758863,2.19722457733622
0,1,2,717800,15,13.4839462576956,2.70805020110221
0,1,1,214000,12,12.273731294004,2.484906649788
0,1,1,23000,12,10.0432494949113,2.484906649788
0,1,1,2530,12,7.83597458172157,2.484906649788
0,1,1,875,12,6.77422388635761,2.484906649788
0,1,2,147000,12,11.8981878657609,2.484906649788
0,1,1,12000,12,9.39266192877014,2.484906649788
0,1,2,80000,12,11.289781913656,2.484906649788
0,1,1,1050000,14,13.8643007221337,2.63905732961526
0,1,2,1079200,10,13.8917305838757,2.30258509299405
0,1,1,198000,11,12.1960223096767,2.39789527279837
0,1,2,121500,12,11.7076695417627,2.484906649788
0,1,1,327050,12,12.6978683433894,2.484906649788
0,1,2,462500,12,13.0444018359346,2.484906649788
0,1,1,1593000,16,14.2811295888922,2.77258872223978
0,1,1,183023,19,12.1173671069862,2.94443897916644
0,1,1,24000,12,10.0858091093301,2.484906649788
0,1,2,381000,17,12.8505546541088,2.83321334405622
0,1,2,582500,20,13.275084464422,2.99573227355399
0,1,1,210000,14,12.2548628096996,2.63905732961526
0,1,2,306300,20,12.6323202928209,2.99573227355399
0,1,1,391500,20,12.877740794413,2.99573227355399
0,1,1,557300,13,13.2308589735576,2.56494935746154
0,1,2,215000,14,12.2783933071098,2.63905732961526
0,1,2,622900,12,13.3421412712422,2.484906649788
0,1,1,874200,16,13.6810644614114,2.77258872223978
0,1,1,7000,13,8.85366542803745,2.56494935746154
0,1,1,685000,17,13.4371741172444,2.83321334405622
0,1,2,1441500,18,14.1811947960606,2.89037175789616
0,1,1,200,12,5.29831736654804,2.484906649788
0,1,1,884200,13,13.6924385603743,2.56494935746154
0,1,2,5066,9,8.53030683056162,2.19722457733622
1,1,2,500,13,6.21460809842219,2.56494935746154
0,0,1,32325,12,10.3835962036401,2.484906649788
1,1,1,102000,16,11.5327280922664,2.77258872223978
1,1,1,85000,12,11.3504065354725,2.484906649788
0,1,1,44000,13,10.6919449129004,2.56494935746154
